feature,mean_abs_shap
v014_rawvalue_norm,0.029620458199232532
v149_rawvalue_norm,0.019442324408427313
v168_rawvalue_norm,0.016815137246046767
v085_rawvalue_norm,0.012249358666965818
v024_rawvalue_norm,0.011479181583907035
v132_rawvalue_norm,0.009431600580870156
v153_rawvalue_norm,0.008879138057149771
v147_rawvalue_norm,0.008585687233564551
arts_ratio_norm,0.00825022621689116
v169_rawvalue_norm,0.00784673119579392
v154_rawvalue_norm,0.007564044833168194
v063_rawvalue_norm,0.007502704834712149
v044_rawvalue_norm,0.007290942466349311
v005_rawvalue_norm,0.0066456805205593345
v137_rawvalue_norm,0.006362212584505364
v045_rawvalue_norm,0.00624053158814883
v151_rawvalue_norm,0.005786874870567465
real_gdp_total_norm,0.005387808474976495
v140_rawvalue_norm,0.005193481568797337
v183_rawvalue_norm,0.005081487919025909
v069_rawvalue_norm,0.0050597075323689815
v167_rawvalue_norm,0.003915166885242281
v138_rawvalue_norm,0.0035096820479190304
v023_rawvalue_norm,0.003436496140444972
v070_rawvalue_norm,0.0034116080201505843
v177_rawvalue_norm,0.0033494691321716945
v131_rawvalue_norm,0.003164111124276141
v172_rawvalue_norm,0.002855888206237461
v060_rawvalue_norm,0.002825955719654042
employment_total_norm,0.0028008139606974266
v011_rawvalue_norm,0.0026220493010515994
v088_rawvalue_norm,0.0026196859101756636
v171_rawvalue_norm,0.0024660076585384144
v136_rawvalue_norm,0.002048089232111687
v062_rawvalue_norm,0.001952020147510536
v144_rawvalue_norm,0.001923015547172475
v141_rawvalue_norm,0.0014232638095686184
v042_rawvalue_norm,0.0014045850298053085
v036_rawvalue_norm,0.0011098896611518407
disposable_income_total_norm,0.0009979288321076384
v143_rawvalue_norm,0.0008956358546709356
v145_rawvalue_norm,0.0008504356241099947
real_pce_total_norm,0.0008155912236592806
real_pc_income_norm,0.000640915815317183
v004_rawvalue_norm,0.0005392200020541614
v061_rawvalue_norm,0.0005324963111333996
v067_rawvalue_norm,0.0005159279449008139
v184_rawvalue_norm,0.0005108996164471417
pc_pce_norm,0.00048419990294565574
rpp_index_norm,0.0004015907017174691
v009_rawvalue_norm,0.00020979038553440744
v049_rawvalue_norm,5.302576619226243e-06
