Model,t_statistic,p_value
SVM,2.168,0.096
KNN,1.92,0.127
Linear,-2.46,0.07
Ridge,-2.429,0.072
Lasso,-3.719,0.02
Polynomial,-1.092,0.336
MLP,-0.258,0.809
XGBoost,-0.205,0.848
DecisionTree,0.813,0.462
