r2_score,adjusted_r2,mae,mse,rmse,pearson_r,model
0.3371960391709492,0.3371960391709492,0.08785062341335126,0.009307421332149506,0.09647497775148489,0.6424423108825493,DecisionTree_regression
0.8136763009094725,0.8136763009094725,0.04113209914451817,0.002616449620233125,0.051151242606931116,0.9077527760359541,kNN_regression
0.9169301844547151,0.9169301844547151,0.03050599119033638,0.0011665074727326846,0.03415417211312089,0.9633264723656207,Lasso_regression
0.8782355704417221,0.8782355704417221,0.034619193994454164,0.0017098763980682274,0.041350651724830496,0.9449714414941042,Linear_regression
0.5039174397309394,0.5039174397309394,0.0593607775051665,0.006966236891795627,0.08346398559735586,0.8459927243899478,MLP_regression
0.863919610782768,0.863919610782768,0.032236325164185425,0.0019109081905657787,0.04371393588509022,0.9449662834396914,Polynomial_regression
0.9029814996561241,0.9029814996561241,0.02817465605197461,0.0013623818098254296,0.03691045664612441,0.95602223351366,RandomForest_regression
0.9045763664783686,0.9045763664783686,0.029370066351903437,0.0013399859003852856,0.03660581784887869,0.9570972422284385,Ridge_regression
0.723768326612629,0.723768326612629,0.051323087741380384,0.0038789819033143652,0.06228147319479819,0.9114203337512639,SVM_regression
0.9264255429465099,0.9264255429465099,0.02420135518912993,0.0010331689482127137,0.03214294554350478,0.9640707917716144,XGBoost_regression
