State  predictor_index
   AK         0.455678
   AL         0.418908
   AR         0.351923
   AZ         0.472239
   CA         0.521147
   CO         0.551627
   CT         0.510160
   DC         0.447255
   DE         0.527065
   FL         0.494406
   GA         0.468200
   HI         0.499430
   IA         0.568798
   ID         0.566255
   IL         0.480546
   IN         0.477212
   KS         0.555875
   KY         0.433062
   LA         0.327915
   MA         0.526699
   MD         0.530298
   ME         0.521545
   MI         0.493059
   MN         0.603163
   MO         0.473731
   MS         0.365895
   MT         0.530717
   NC         0.508220
   ND         0.544425
   NE         0.581023
   NH         0.582532
   NJ         0.545918
   NM         0.413583
   NV         0.444492
   NY         0.469043
   OH         0.454148
   OK         0.419639
   OR         0.493278
   PA         0.485152
   RI         0.511036
   SC         0.473310
   SD         0.545761
   TN         0.402566
   TX         0.467264
   UT         0.621987
   VA         0.531864
   VT         0.563404
   WA         0.560049
   WI         0.532551
   WV         0.351245
   WY         0.585994
