State  v009_rawvalue_norm  v011_rawvalue_norm  v049_rawvalue_norm  v070_rawvalue_norm  v045_rawvalue_norm  v014_rawvalue_norm  v138_rawvalue_norm  v060_rawvalue_norm  v061_rawvalue_norm  v132_rawvalue_norm  v183_rawvalue_norm  v143_rawvalue_norm  v004_rawvalue_norm  v062_rawvalue_norm  v088_rawvalue_norm  v005_rawvalue_norm  v085_rawvalue_norm  v131_rawvalue_norm  v024_rawvalue_norm  v044_rawvalue_norm  v069_rawvalue_norm  v168_rawvalue_norm  v023_rawvalue_norm  v140_rawvalue_norm  v171_rawvalue_norm  v151_rawvalue_norm  v063_rawvalue_norm  v172_rawvalue_norm  v141_rawvalue_norm  v149_rawvalue_norm  v184_rawvalue_norm  v177_rawvalue_norm  v136_rawvalue_norm  v153_rawvalue_norm  v154_rawvalue_norm  v067_rawvalue_norm  v137_rawvalue_norm  v167_rawvalue_norm  v169_rawvalue_norm  v036_rawvalue_norm  v042_rawvalue_norm  v144_rawvalue_norm  v145_rawvalue_norm  v147_rawvalue_norm
   HI            0.722790            0.919253            0.296369            0.635748            0.799449            0.629432            0.885704            0.451075            0.938956            0.830688                 NaN            0.000000            0.525433            0.732917            0.469570            0.912390            0.909274            1.000000            0.792063            0.759002            0.444184            0.832353            0.668063            0.119235            0.755916            0.332057            0.825326            0.191260            0.374072            0.369339                 NaN            0.076008            0.000000            0.645565            0.107088            0.305294            0.247487            0.975648                 NaN            0.963566            0.980094            0.890772            1.000000            1.000000
   IA            0.400229            0.170789            0.089835            0.393706            0.728172            0.661213            0.939209            0.530306            0.972092            0.521090            0.329091            0.763387            0.750049            0.890407            0.699431            0.588815            0.843089            0.648766            0.721001            0.881193            0.475379            0.864548            0.673456            0.391300            0.900852            0.530980            0.346547            0.303679            0.661074            0.763472            0.860430            0.722100            0.986337            0.916373            0.927793            0.107268            0.827671            0.831251            0.464134            0.783965            0.784799            0.750874            0.831185            0.914416
   ID            0.613724            0.464820            0.624336            0.600660            0.872090            0.659221            0.891694            0.700274            1.000000            0.446300            0.855061            0.796993            0.888215            0.801526            0.767658            0.908405            0.566652            0.630419            0.823879            0.891638            0.348428            0.709742            0.626759            0.133039            0.930058            0.794843            0.403673            0.149431            0.155593            0.536203            0.950243            0.578179            0.866101            0.941710            0.860955            0.165586            0.704609            0.988957            0.381786            0.468597            0.681421            0.442392            0.679617            0.917886
   IL            0.601527            0.455541            0.442296            0.585513            0.620840            0.668765            0.730174            0.456265            0.881240            0.775046                 NaN            0.608205            0.658160            0.693297            0.539906            0.265800            0.694259            0.797809            0.618260            0.755186            0.515724            0.567473            0.208322            0.238771            0.649317            0.709903            0.530356            0.092702            0.071059            0.623494                 NaN            0.476231            0.699489            0.774737            0.577717            0.280774            0.229423            0.103857            0.521668            0.637395            0.763626            0.601874            0.812401            0.907004
   IN            0.294689            0.160609            0.651644            0.267215            0.692044            0.411762            0.598064            0.365780            0.927063            0.432331            0.683801            0.497192            0.837277            0.895905            0.836129            0.336685            0.662399            0.683469            0.596525            0.870287            0.224501            0.564219            0.553754            0.314610            0.626086            0.646889            0.310651            0.126214            0.424262            0.720291            0.676932            0.272979            0.929247            0.880738            0.855665            0.096192            0.498044            0.626411            0.407062            0.475065            0.470525            0.456200            0.501368            0.850156
   KS            0.446977            0.271519            0.524651            0.508025            0.712075            0.456896            0.831175            0.500466            0.960155            0.528250            0.794840            0.636548            0.675280            0.828201            0.791656            0.547235            0.539167            0.558963            0.720331            0.880428            0.477601            0.732157            0.762694            0.356363            1.000000            0.659189            0.335045            0.230054            0.732954            0.748584            0.960927            0.431239            0.924897            0.776151            0.880109            0.106635            0.807780            0.786263            0.496702            0.728801            0.629378            0.704078            0.640206            0.880426
   KY            0.235395            0.167731            0.840048            0.351941            0.777168            0.171796            0.423727            0.177110            0.929018            0.279370            0.773604            0.388189            0.879101            0.732013            0.750729            0.236311            0.764152            0.316321            0.295979            0.561397            0.228405            0.394512            0.300854            0.246040            0.795687            0.588613            0.136285            0.217260            0.600001            0.474298            0.779685            0.354657            0.885038            0.818303            0.801668            0.087400            0.543491            0.836233            0.469743            0.313292            0.624549            0.263984            0.559352            0.808674
   LA            0.249416            0.035370            0.461684            0.174549            0.409156            0.094401            0.441495            0.070630            0.779200            0.416296                 NaN            0.349837            0.786720            0.667026            0.840777            0.225147            0.660927            0.644268            0.000000            0.367249            0.107937            0.230868            0.444732            0.219306            0.685043            0.919902            0.070837            0.126527            0.585326            0.231476                 NaN            0.291437            0.690543            0.789317            0.489283            0.058224            0.444176            0.498622            0.294226            0.302664            0.130069            0.261636            0.168906            0.807300
   MA            0.733904            0.830154            0.373230            0.660895            0.779502            0.990921            0.637065            0.703561            0.870893            0.872944            0.607958            0.765454            0.368590            0.000000            0.236985            0.275164            1.000000            0.397340            0.735012            0.455044            0.633519            0.682240            0.542993            0.218558            0.346569            0.157181            0.913139            0.286625            0.292712            0.848636            0.793969            0.721809            0.588088            0.646965            0.347057            0.364738            0.163046            0.481593            0.797786            0.758303            0.662365            0.760044            0.705646            0.958430
   MD            0.772505            0.478989            0.766435            0.641316            0.683639            0.710764            0.520794            0.451805            0.749942            0.810201            0.209456            0.482687            0.583158            0.647290            0.580205            0.536253            0.751391            0.627775            0.817018            0.796555            0.501182            0.646240            0.924571            0.208279            0.786479            0.340657            0.900548            0.174590            0.499552            0.687571            0.340279            0.630018            0.699009            0.794178            0.544432            0.298159            0.000000            0.552350            0.478478            0.818768            0.694554            0.841411            0.756644            0.916167
