feature,mean_abs_shap
v014_rawvalue_norm,0.03576525750166937
v024_rawvalue_norm,0.023479771340438965
v168_rawvalue_norm,0.017424073102943808
v149_rawvalue_norm,0.01715131495900155
arts_ratio_norm,0.01570205919525204
v044_rawvalue_norm,0.01255827127182818
v153_rawvalue_norm,0.012521503057656987
v063_rawvalue_norm,0.012357533183723679
v085_rawvalue_norm,0.012187292734407872
v005_rawvalue_norm,0.012184127219634942
v009_rawvalue_norm,0.010673369807878134
v183_rawvalue_norm,0.009995023452637086
v137_rawvalue_norm,0.009650739072819544
v147_rawvalue_norm,0.009565178774825555
v140_rawvalue_norm,0.007644123488005375
v169_rawvalue_norm,0.007642722921879354
real_gdp_total_norm,0.007111365639730019
v136_rawvalue_norm,0.007017660922704486
v011_rawvalue_norm,0.0067618574310980865
v069_rawvalue_norm,0.006121955158955716
v132_rawvalue_norm,0.006103374867940223
v154_rawvalue_norm,0.005996542414536262
v167_rawvalue_norm,0.005443011483501318
real_pc_income_norm,0.005335658085067275
v143_rawvalue_norm,0.005084664067424577
v172_rawvalue_norm,0.0049061377725805036
v062_rawvalue_norm,0.004566565072435572
v138_rawvalue_norm,0.004481486919870111
v088_rawvalue_norm,0.004198655842825706
v045_rawvalue_norm,0.004183877939437444
real_pce_total_norm,0.0034298626361526433
v070_rawvalue_norm,0.003283720605261254
v151_rawvalue_norm,0.00326118123203689
v144_rawvalue_norm,0.0031293010086446025
v067_rawvalue_norm,0.0027615517635177327
v060_rawvalue_norm,0.0024030379667784162
v171_rawvalue_norm,0.0018211651079696183
disposable_income_total_norm,0.001781227096864064
v036_rawvalue_norm,0.0014507253791673992
v023_rawvalue_norm,0.0011997406051929168
v131_rawvalue_norm,0.0011860641918490225
rpp_index_norm,0.0011524812390270084
v184_rawvalue_norm,0.0010474491236064423
v141_rawvalue_norm,0.0010042022088305818
v004_rawvalue_norm,0.0008817265136599157
v061_rawvalue_norm,0.0006864614803242455
pc_pce_norm,0.0006803272407226769
v042_rawvalue_norm,0.000472146231525488
v177_rawvalue_norm,0.0004504800994342513
v049_rawvalue_norm,0.00026894179563380767
employment_total_norm,0.00014124375529761882
v145_rawvalue_norm,5.9312377738359517e-05
