feature,mean_abs_shap
v014_rawvalue_norm,0.041087708696823204
v024_rawvalue_norm,0.026770003564050723
arts_ratio_norm,0.019638870733929205
v168_rawvalue_norm,0.01876048300363006
v009_rawvalue_norm,0.018642554729985484
v149_rawvalue_norm,0.015366050552406368
v044_rawvalue_norm,0.015091427579149596
v063_rawvalue_norm,0.014528115356493709
v153_rawvalue_norm,0.013158540471541247
v137_rawvalue_norm,0.012494549390878802
v183_rawvalue_norm,0.01227508090950365
v005_rawvalue_norm,0.01210211775675812
v085_rawvalue_norm,0.011443361817098378
real_pc_income_norm,0.010057990527665043
v136_rawvalue_norm,0.009865054419524986
v147_rawvalue_norm,0.009770433643241183
v062_rawvalue_norm,0.009220563552434231
real_gdp_total_norm,0.009032175630270669
v140_rawvalue_norm,0.007807913816134727
v132_rawvalue_norm,0.007229437985013933
v154_rawvalue_norm,0.006213704796143515
v011_rawvalue_norm,0.006180828155196024
v088_rawvalue_norm,0.005908051328635769
v143_rawvalue_norm,0.0057493098288160195
v169_rawvalue_norm,0.005556787864494659
real_pce_total_norm,0.005241444161430389
v069_rawvalue_norm,0.004995780112824608
v138_rawvalue_norm,0.004982332784434065
v172_rawvalue_norm,0.00494808179230359
v067_rawvalue_norm,0.004138171033195036
v045_rawvalue_norm,0.004061963882734942
v060_rawvalue_norm,0.003936180204252755
v171_rawvalue_norm,0.003429753641836319
v070_rawvalue_norm,0.003162293531705186
disposable_income_total_norm,0.0031048026167602785
v144_rawvalue_norm,0.002844245681363491
v023_rawvalue_norm,0.002449511953142013
v167_rawvalue_norm,0.00234214286079783
v042_rawvalue_norm,0.0020362057008764087
v036_rawvalue_norm,0.0018432749898811055
v177_rawvalue_norm,0.0018230296178456853
rpp_index_norm,0.0015418585506220108
v061_rawvalue_norm,0.001308484529526191
pc_pce_norm,0.0012038147180396112
v049_rawvalue_norm,0.0010661912149830715
employment_total_norm,0.000955485809420774
v141_rawvalue_norm,0.0009337261506810354
v184_rawvalue_norm,0.000707020385914163
v004_rawvalue_norm,0.0006979766504803154
v145_rawvalue_norm,0.0006212763638380862
v151_rawvalue_norm,0.00047227663042080745
v131_rawvalue_norm,0.00039066241294234835
