feature,mean_abs_shap
v014_rawvalue_norm,0.03999722528235829
v085_rawvalue_norm,0.021976599065429325
v063_rawvalue_norm,0.016347154156049433
v009_rawvalue_norm,0.007975468061351772
v147_rawvalue_norm,0.006239652094003907
v149_rawvalue_norm,0.005626531513217117
pc_pce_norm,0.003419717194077859
v011_rawvalue_norm,0.002552217527895454
arts_ratio_norm,0.0019182889391913087
rpp_index_norm,0.0015615384663750609
v049_rawvalue_norm,0.0015394489713889147
v131_rawvalue_norm,0.0014050952755201847
v070_rawvalue_norm,0.0013037803376268991
v045_rawvalue_norm,0.0012948265197331164
real_pc_income_norm,0.001289346620443933
v036_rawvalue_norm,0.0012320504992266194
v060_rawvalue_norm,0.0010736420497069793
v004_rawvalue_norm,0.0009844567776887416
v088_rawvalue_norm,0.0009034665753805015
v169_rawvalue_norm,0.0008660918758355321
v132_rawvalue_norm,0.000792717669699699
v145_rawvalue_norm,0.0007796967452511507
v144_rawvalue_norm,0.000769167367744685
v044_rawvalue_norm,0.0005745118249438185
v069_rawvalue_norm,0.0005669822194821591
v024_rawvalue_norm,0.000532681052645517
v042_rawvalue_norm,0.00041698002164648296
v183_rawvalue_norm,0.0004104818329485359
v171_rawvalue_norm,0.0003758726041422431
v067_rawvalue_norm,0.0003435023248766606
employment_total_norm,0.00030241085178270755
v153_rawvalue_norm,0.00029456800631919266
v151_rawvalue_norm,0.0002932747766731927
v168_rawvalue_norm,0.00029075533271411046
v062_rawvalue_norm,0.0002839809869386795
v167_rawvalue_norm,0.00028257764121619554
v154_rawvalue_norm,0.0002702707156427797
real_pce_total_norm,0.0002529173671682555
v005_rawvalue_norm,0.0002431135981972592
v061_rawvalue_norm,0.0002204126075945502
v136_rawvalue_norm,0.000183938780765072
v138_rawvalue_norm,0.0001623356555638248
v177_rawvalue_norm,0.00014795973726151694
real_gdp_total_norm,0.00014711046576222864
v140_rawvalue_norm,0.00014676706609772876
v172_rawvalue_norm,0.0001378144281812792
v137_rawvalue_norm,0.00013452467188358687
v023_rawvalue_norm,0.00011724049595891976
v141_rawvalue_norm,9.121139184037208e-05
disposable_income_total_norm,5.368786122672301e-05
v184_rawvalue_norm,5.221081886718995e-05
v143_rawvalue_norm,4.4585699282409424e-05
