State  target_index Percentile_Class
   AK      0.455023                1
   AL      0.394856                1
   AR      0.380307                1
   AZ      0.479100                1
   CA      0.631393                4
   CO      0.632692                4
   CT      0.674118                5
   DC      0.540261                2
   DE      0.623286                4
   FL      0.568065                3
   GA      0.539619                2
   HI      0.615729                3
   IA      0.689268                5
   ID      0.599922                3
   IL      0.642275                4
   IN      0.576081                3
   KS      0.593844                3
   KY      0.482908                2
   LA      0.325138                1
   MA      0.781673                5
   MD      0.685520                5
   ME      0.606008                3
   MI      0.593387                3
   MN      0.744901                5
   MO      0.500198                2
   MS      0.285509                1
   MT      0.491474                2
   NC      0.553307                2
   ND      0.615994                3
   NE      0.647992                4
   NH      0.722605                5
   NJ      0.770576                5
   NM      0.351439                1
   NV      0.511870                2
   NY      0.737967                5
   OH      0.581813                3
   OK      0.399146                1
   OR      0.597030                3
   PA      0.619267                4
   RI      0.699362                5
   SC      0.453942                1
   SD      0.537973                2
   TN      0.466410                1
   TX      0.515427                2
   UT      0.654206                4
   VA      0.671251                4
   VT      0.679077                5
   WA      0.657589                4
   WI      0.653477                4
   WV      0.408589                1
   WY      0.521631                2
