State  v001_rawvalue_norm  v127_rawvalue_norm  v128_rawvalue_norm  v129_rawvalue_norm  v135_rawvalue_norm  v015_rawvalue_norm  v039_rawvalue_norm  v125_rawvalue_norm  v124_rawvalue_norm  v134_rawvalue_norm  v139_rawvalue_norm  v083_rawvalue_norm  v133_rawvalue_norm  v148_rawvalue_norm  v155_rawvalue_norm  v161_rawvalue_norm  v156_rawvalue_norm  v166_rawvalue_norm  v179_rawvalue_norm  v182_rawvalue_norm  v181_rawvalue_norm
   NC            0.563704            0.568835            0.503529            0.360561            0.624742            0.706658            0.523046            0.380741            0.680118            0.641101            0.358606            0.524859            0.493894            0.487369            0.834667            0.662649            0.947567            0.564670            0.355422            0.635863            0.278303
   ND            0.720482            0.764332            0.506274            0.630328            0.689174            0.947330            0.499862            0.792111            0.927618            0.098815            1.000000            0.483702            0.834938            0.554298            0.760805            0.407679            0.947214            0.501384            0.000000            0.449702            0.449246
   NE            0.846127            0.817227            0.640701            0.674530            0.847081            0.863982            0.650227            0.585517            0.655935            0.446815            0.596009            0.614894            0.578330            0.704119            0.820873            0.625912            0.887925            0.694992            0.489450            0.177502            0.696852
   NH            0.868796            0.881545            0.975775            0.959746            0.577003            0.999637            0.836237            0.742961            0.160406            0.500311            0.834165            0.729345            0.984424            0.681138            0.826833            0.465407            0.927286            0.918137            0.248756            0.873431            0.645576
   NJ            0.898562            0.888469            0.944407            0.891567            0.919900            0.834976            0.943118            0.391683            0.300926            0.841902            0.759445            0.796214            0.913467            0.920174            0.797972            0.924505            0.752609            0.863898            0.658371            0.666531            0.592856
   NM            0.296876            0.439016            0.556573            0.680706            0.165730            0.602526            0.350405            0.776403            0.241522            0.570831            0.322643            0.000000            0.107438            0.191511            0.304152            0.179651            0.917235            0.163433            0.449450            0.426685            0.500500
   NV            0.634713            0.590256            0.663864            0.688625            0.607206            0.714904            0.714120            0.573512            0.427101            0.596127            0.474478            0.673287            0.485316            0.350082            0.239259            0.354318            0.787468            0.710190            0.562864            0.356841            0.330086
   NY            0.940986            0.918200            0.861824            0.848069            1.000000            0.866534            0.979445            0.501509            0.473517            0.910050            0.592481            0.900158            0.845033            0.951652            0.700760            0.910187            0.399832            0.674499            0.603823            0.727023            0.606277
   OH            0.463712            0.459489            0.500558            0.337496            0.511340            0.717636            0.749937            0.141670            0.725320            0.475864            0.390772            0.557513            0.627559            0.524363            0.771562            0.610828            0.912951            0.622166            0.428041            0.995773            0.823026
   OK            0.262477            0.202717            0.344295            0.332308            0.341653            0.647420            0.340903            0.401602            0.236525            0.670834            0.311282            0.375740            0.393843            0.266270            0.627304            0.334519            0.961648            0.445584            0.264089            0.042782            0.526225
   OR            0.855792            0.830933            0.824339            0.833928            0.630745            0.911868            0.729072            0.560457            0.310472            0.598847            0.523339            0.684543            0.554974            0.534497            0.487495            0.407110            0.840884            0.864934            0.684342            0.422871            0.574508
   PA            0.636485            0.646678            0.661184            0.526812            0.513324            0.743736            0.766596            0.230213            0.281871            0.662400            0.608210            0.722654            0.809583            0.555663            0.882217            0.626942            0.833358            0.588489            0.326886            1.000000            0.347787
   RI            0.874975            0.850091            0.820699            0.635336            0.614363            0.928256            0.942900            0.675585            0.455092            0.227630            0.627080            0.688129            0.850702            0.956573            0.646759            0.806872            0.709498            0.760863            0.533839            0.666531            0.615952
   SC            0.358508            0.385208            0.439004            0.392722            0.474544            0.582193            0.267981            0.334494            0.772623            0.404706            0.505442            0.359408            0.527663            0.268423            0.666283            0.553411            0.982237            0.406270            0.128198            0.527715            0.286198
   SD            0.626047            0.704481            0.282838            0.461994            0.552330            0.855448            0.442264            0.752321            0.629692            0.387146            0.677304            0.300038            0.278624            0.556357            0.681126            0.308171            0.958599            0.548892            0.277454            0.332312            0.764196
   TN            0.263715            0.241349            0.410351            0.347803            0.388708            0.613798            0.444174            0.296989            0.877283            0.761071            0.404277            0.410437            0.544967            0.277842            0.736473            0.513222            0.943300            0.444006            0.192919            0.747861            0.248851
   TX            0.717403            0.673011            0.641622            0.649001            0.866230            0.749679            0.583057            0.454993            0.391701            0.686040            0.311490            0.383479            0.343703            0.562457            0.558884            0.671515            0.862264            0.671546            0.412642            0.000000            0.234201
   UT            0.882442            0.918477            0.700018            0.758922            0.739453            0.956579            0.840228            0.645154            0.381870            0.929950            0.583211            0.633574            0.479991            0.554059            0.672032            0.282821            0.857186            0.965514            0.517725            0.422278            0.769619
   VA            0.784912            0.777540            0.655374            0.572024            0.809258            0.792900            0.771648            0.453009            0.814009            0.580825            0.754303            0.753346            0.635193            0.571945            0.758061            0.666847            0.845287            0.727590            0.412833            0.984593            0.468673
   VT            0.862356            0.880948            0.879512            0.936087            0.505420            0.969129            0.765006            0.716496            0.493794            0.426093            0.642389            0.839319            0.888919            0.592332            0.738219            0.459316            0.979933            0.527699            0.169261            0.560272            0.764644
   WA            0.926653            0.909666            0.844748            0.887733            0.746058            0.896490            0.867477            0.562491            0.565848            0.452063            0.614720            0.667796            0.584025            0.649935            0.625126            0.556496            0.811585            1.000000            0.534318            0.443633            0.570373
   WI            0.817002            0.824827            0.674651            0.585255            0.559870            0.843484            0.751958            0.429879            0.605654            0.377006            0.751461            0.696165            0.850069            0.642311            0.896068            0.604369            0.764797            0.641544            0.523348            0.813985            0.821464
   WV            0.032014            0.053579            0.429754            0.383799            0.004572            0.756852            0.404659            0.375125            0.534658            0.644115            0.431528            0.534532            0.578393            0.308415            0.409609            0.365540            0.980273            0.226485            0.062390            0.971841            0.188801
   WY            0.590386            0.641096            0.561033            0.642461            0.362899            0.855564            0.315014            0.883360            0.443616            0.453342            0.576222            0.432710            0.709561            0.143121            0.429942            0.004943            0.965124            0.688198            0.379375            0.651129            1.000000
