"State","Sex","LEB","SE","Quartile"
"Hawaii","Total","80.9","0.119","79.5 - 80.9"
"California","Total","80.9","0.022","79.5 - 80.9"
"New York","Total","80.7","0.03","79.5 - 80.9"
"Minnesota","Total","80.4","0.056","79.5 - 80.9"
"Massachusetts","Total","80.4","0.05","79.5 - 80.9"
"Connecticut","Total","80.3","0.073","79.5 - 80.9"
"New Jersey","Total","80.1","0.046","79.5 - 80.9"
"Washington","Total","80","0.048","79.5 - 80.9"
"Colorado","Total","80","0.058","79.5 - 80.9"
"Vermont","Total","79.8","0.172","79.5 - 80.9"
"Utah","Total","79.7","0.078","79.5 - 80.9"
"Oregon","Total","79.6","0.066","79.5 - 80.9"
"Idaho","Total","79.5","0.101","79.5 - 80.9"
"Rhode Island","Total","79.5","0.135","79.5 - 80.9"
"New Hampshire","Total","79.4","0.116","78.4 - 79.4"
"Wisconsin","Total","79.3","0.057","78.4 - 79.4"
"Nebraska","Total","79.2","0.098","78.4 - 79.4"
"Virginia","Total","79.1","0.047","78.4 - 79.4"
"Florida","Total","79","0.032","78.4 - 79.4"
"Iowa","Total","79","0.077","78.4 - 79.4"
"Illinois","Total","79","0.039","78.4 - 79.4"
"United States","Total","78.8",,"*"
"Arizona","Total","78.8","0.054","78.4 - 79.4"
"North Dakota","Total","78.8","0.166","78.4 - 79.4"
"Texas","Total","78.6","0.026","78.4 - 79.4"
"Maryland","Total","78.5","0.059","78.4 - 79.4"
"Montana","Total","78.4","0.139","78.4 - 79.4"
"South Dakota","Total","78.4","0.157","78.4 - 79.4"
"Pennsylvania","Total","78.3","0.04","77.0 - 78.3"
"Maine","Total","78.3","0.123","77.0 - 78.3"
"Kansas","Total","78.2","0.082","77.0 - 78.3"
"Delaware","Total","78.1","0.153","77.0 - 78.3"
"District of Columbia","Total","78","0.186","77.0 - 78.3"
"Nevada","Total","78","0.08","77.0 - 78.3"
"Michigan","Total","78","0.045","77.0 - 78.3"
"Alaska","Total","77.7","0.173","77.0 - 78.3"
"Wyoming","Total","77.7","0.199","77.0 - 78.3"
"North Carolina","Total","77.6","0.045","77.0 - 78.3"
"Georgia","Total","77.4","0.044","77.0 - 78.3"
"Indiana","Total","77","0.056","77.0 - 78.3"
"Missouri","Total","76.9","0.059","74.4 - 76.9"
"New Mexico","Total","76.9","0.109","74.4 - 76.9"
"Ohio","Total","76.9","0.043","74.4 - 76.9"
"South Carolina","Total","76.8","0.066","74.4 - 76.9"
"Louisiana","Total","75.7","0.07","74.4 - 76.9"
"Oklahoma","Total","75.7","0.073","74.4 - 76.9"
"Arkansas","Total","75.7","0.085","74.4 - 76.9"
"Tennessee","Total","75.6","0.057","74.4 - 76.9"
"Kentucky","Total","75.5","0.068","74.4 - 76.9"
"Alabama","Total","75.2","0.068","74.4 - 76.9"
"West Virginia","Total","74.5","0.114","74.4 - 76.9"
"Mississippi","Total","74.4","0.089","74.4 - 76.9"
"California","Male","78.4","0.032","77.2 - 78.4"
"Minnesota","Male","78.3","0.082","77.2 - 78.4"
"New York","Male","78.2","0.045","77.2 - 78.4"
"Hawaii","Male","78","0.172","77.2 - 78.4"
"Utah","Male","78","0.114","77.2 - 78.4"
"Massachusetts","Male","77.9","0.074","77.2 - 78.4"
"Washington","Male","77.9","0.07","77.2 - 78.4"
"Colorado","Male","77.8","0.084","77.2 - 78.4"
"Connecticut","Male","77.7","0.107","77.2 - 78.4"
"New Jersey","Male","77.6","0.067","77.2 - 78.4"
"Idaho","Male","77.5","0.147","77.2 - 78.4"
"Oregon","Male","77.3","0.097","77.2 - 78.4"
"Vermont","Male","77.2","0.259","77.2 - 78.4"
"Nebraska","Male","77.1","0.141","76.1 - 77.1"
"New Hampshire","Male","77.1","0.171","76.1 - 77.1"
"Rhode Island","Male","77","0.199","76.1 - 77.1"
"Wisconsin","Male","77","0.082","76.1 - 77.1"
"Virginia","Male","76.8","0.069","76.1 - 77.1"
"Iowa","Male","76.5","0.113","76.1 - 77.1"
"Illinois","Male","76.4","0.058","76.1 - 77.1"
"Florida","Male","76.3","0.047","76.1 - 77.1"
"North Dakota","Male","76.3","0.235","76.1 - 77.1"
"United States","Male","76.3",,"*"
"Montana","Male","76.2","0.204","76.1 - 77.1"
"Arizona","Male","76.1","0.08","76.1 - 77.1"
"South Dakota","Male","76.1","0.226","76.1 - 77.1"
"Texas","Male","76.1","0.038","76.1 - 77.1"
"Kansas","Male","75.9","0.119","74.5 - 76.0"
"Maine","Male","75.8","0.18","74.5 - 76.0"
"Maryland","Male","75.8","0.088","74.5 - 76.0"
"Alaska","Male","75.8","0.247","74.5 - 76.0"
"Pennsylvania","Male","75.7","0.059","74.5 - 76.0"
"Michigan","Male","75.6","0.066","74.5 - 76.0"
"Nevada","Male","75.6","0.115","74.5 - 76.0"
"Wyoming","Male","75.4","0.279","74.5 - 76.0"
"Delaware","Male","75.1","0.225","74.5 - 76.0"
"North Carolina","Male","75","0.066","74.5 - 76.0"
"Georgia","Male","74.9","0.065","74.5 - 76.0"
"District of Columbia","Male","74.9","0.276","74.5 - 76.0"
"Indiana","Male","74.5","0.081","74.5 - 76.0"
"Ohio","Male","74.3","0.062","71.2 - 74.4"
"Missouri","Male","74.1","0.087","71.2 - 74.4"
"New Mexico","Male","73.9","0.159","71.2 - 74.4"
"South Carolina","Male","73.9","0.098","71.2 - 74.4"
"Oklahoma","Male","73.2","0.106","71.2 - 74.4"
"Arkansas","Male","73","0.122","71.2 - 74.4"
"Kentucky","Male","72.9","0.097","71.2 - 74.4"
"Louisiana","Male","72.8","0.102","71.2 - 74.4"
"Tennessee","Male","72.8","0.082","71.2 - 74.4"
"Alabama","Male","72.2","0.099","71.2 - 74.4"
"West Virginia","Male","71.9","0.164","71.2 - 74.4"
"Mississippi","Male","71.2","0.129","71.2 - 74.4"
"Hawaii","Female","83.9","0.158","81.8 - 83.9"
"California","Female","83.3","0.028","81.8 - 83.9"
"New York","Female","83.1","0.04","81.8 - 83.9"
"Connecticut","Female","82.8","0.094","81.8 - 83.9"
"Massachusetts","Female","82.8","0.065","81.8 - 83.9"
"Minnesota","Female","82.6","0.075","81.8 - 83.9"
"New Jersey","Female","82.5","0.06","81.8 - 83.9"
"Vermont","Female","82.3","0.223","81.8 - 83.9"
"Colorado","Female","82.2","0.077","81.8 - 83.9"
"Washington","Female","82.1","0.064","81.8 - 83.9"
"Oregon","Female","81.9","0.086","81.8 - 83.9"
"Florida","Female","81.8","0.042","81.8 - 83.9"
"Rhode Island","Female","81.8","0.179","81.8 - 83.9"
"Arizona","Female","81.6","0.071","81.0 - 81.7"
"Iowa","Female","81.6","0.101","81.0 - 81.7"
"New Hampshire","Female","81.6","0.154","81.0 - 81.7"
"Idaho","Female","81.5","0.137","81.0 - 81.7"
"Illinois","Female","81.5","0.052","81.0 - 81.7"
"North Dakota","Female","81.5","0.227","81.0 - 81.7"
"Utah","Female","81.5","0.105","81.0 - 81.7"
"Wisconsin","Female","81.5","0.078","81.0 - 81.7"
"Nebraska","Female","81.3","0.134","81.0 - 81.7"
"Virginia","Female","81.3","0.063","81.0 - 81.7"
"Maryland","Female","81.2","0.075","81.0 - 81.7"
"Delaware","Female","81","0.202","81.0 - 81.7"
"Texas","Female","81","0.035","81.0 - 81.7"
"Maine","Female","80.9","0.164","79.9 - 80.9"
"Pennsylvania","Female","80.9","0.053","79.9 - 80.9"
"District of Columbia","Female","80.8","0.244","79.9 - 80.9"
"Montana","Female","80.8","0.185","79.9 - 80.9"
"South Dakota","Female","80.8","0.214","79.9 - 80.9"
"Nevada","Female","80.6","0.107","79.9 - 80.9"
"Wyoming","Female","80.5","0.262","79.9 - 80.9"
"Kansas","Female","80.4","0.111","79.9 - 80.9"
"United States","Female","81.4",,"*"
"Michigan","Female","80.3","0.06","79.9 - 80.9"
"New Mexico","Female","80.1","0.143","79.9 - 80.9"
"North Carolina","Female","80.1","0.059","79.9 - 80.9"
"Alaska","Female","79.9","0.237","79.9 - 80.9"
"Georgia","Female","79.9","0.059","79.9 - 80.9"
"Missouri","Female","79.8","0.078","77.3 - 79.8"
"South Carolina","Female","79.7","0.086","77.3 - 79.8"
"Indiana","Female","79.5","0.075","77.3 - 79.8"
"Ohio","Female","79.5","0.057","77.3 - 79.8"
"Louisiana","Female","78.6","0.093","77.3 - 79.8"
"Tennessee","Female","78.5","0.075","77.3 - 79.8"
"Arkansas","Female","78.4","0.114","77.3 - 79.8"
"Oklahoma","Female","78.3","0.099","77.3 - 79.8"
"Alabama","Female","78.2","0.09","77.3 - 79.8"
"Kentucky","Female","78","0.091","77.3 - 79.8"
"Mississippi","Female","77.6","0.118","77.3 - 79.8"
"West Virginia","Female","77.3","0.153","77.3 - 79.8"
