r2_score,adjusted_r2,mae,mse,rmse,pearson_r,model
0.3530704026638116,0.3530704026638116,0.08809318037589858,0.009084505661544649,0.09531267314237205,0.6783765249306141,DecisionTree_regression
0.8136763009094725,0.8136763009094725,0.04113209914451817,0.002616449620233125,0.051151242606931116,0.9077527760359541,kNN_regression
0.916985187299719,0.916985187299719,0.030493483336459376,0.0011657350955545545,0.03414286302515585,0.9634235658012797,Lasso_regression
0.8655362067632921,0.8655362067632921,0.035700330236843464,0.001888207149528279,0.04345350560689297,0.9395913407195031,Linear_regression
0.5039174397309394,0.5039174397309394,0.0593607775051665,0.006966236891795627,0.08346398559735586,0.8459927243899478,MLP_regression
0.8527025280956527,0.8527025280956527,0.03393753623027033,0.002068424018558045,0.04547992984337206,0.942812013146327,Polynomial_regression
0.9023060703808402,0.9023060703808402,0.028501721479197266,0.0013718665220731835,0.03703871652842716,0.9559265777388184,RandomForest_regression
0.8928068681417743,0.8928068681417743,0.03129166444717542,0.0015052590223951403,0.03879766774427479,0.9528809326031779,Ridge_regression
0.7236348333773946,0.7236348333773946,0.05164383041898911,0.0038808564814079597,0.0622965206204003,0.9091729673575937,SVM_regression
0.9113687776176691,0.9113687776176691,0.025960915592522633,0.0012446035006549346,0.03527893848537587,0.9572891871752996,XGBoost_regression
