State  v001_rawvalue_norm  v127_rawvalue_norm  v128_rawvalue_norm  v129_rawvalue_norm  v135_rawvalue_norm  v161_rawvalue_norm  v015_rawvalue_norm  v039_rawvalue_norm  v148_rawvalue_norm  v125_rawvalue_norm  v124_rawvalue_norm  v156_rawvalue_norm  v134_rawvalue_norm  v139_rawvalue_norm  v083_rawvalue_norm  v133_rawvalue_norm  v155_rawvalue_norm  v166_rawvalue_norm  v179_rawvalue_norm  v182_rawvalue_norm  v181_rawvalue_norm
   NC            0.561020            0.580795            0.469985            0.364283            0.634616            0.662649            0.711571            0.515914            0.492785            0.402956            0.729374            0.947567            0.706562            0.390867            0.506642            0.504882            0.828335            0.564670            0.355422            0.635863            0.278303
   ND            0.734407            0.763349            0.523864            0.638529            0.751730            0.407679            0.937112            0.555062            0.568089            0.809518            0.939231            0.947214            0.178101            1.000000            0.536714            0.829846            0.761089            0.501384            0.000000            0.449702            0.449246
   NE            0.851503            0.822404            0.602024            0.628849            0.898384            0.625912            0.889134            0.644328            0.714710            0.637443            0.821313            0.887925            0.467193            0.559158            0.642097            0.576851            0.823839            0.694992            0.489450            0.177502            0.696852
   NH            0.853691            0.887514            0.963594            0.995160            0.559525            0.465407            0.999334            0.842005            0.673386            0.797355            0.225921            0.927286            0.451480            0.829588            0.741729            0.971444            0.830207            0.918137            0.248756            0.873431            0.645576
   NJ            0.887147            0.877093            0.943298            0.930766            0.889774            0.924505            0.860057            0.942840            0.937259            0.370458            0.200731            0.752609            0.851345            0.782206            0.808829            0.932898            0.802478            0.863898            0.658371            0.666531            0.592856
   NM            0.231840            0.379587            0.512642            0.656129            0.228045            0.179651            0.587186            0.322852            0.166304            0.745450            0.200437            0.917235            0.596228            0.299388            0.000000            0.031749            0.299540            0.163433            0.449450            0.426685            0.500500
   NV            0.653001            0.607621            0.629440            0.665492            0.654804            0.354318            0.712968            0.708050            0.350970            0.550557            0.338303            0.787468            0.637890            0.447833            0.620174            0.463456            0.239742            0.710190            0.562864            0.356841            0.330086
   NY            0.939090            0.914092            0.867679            0.888089            1.000000            0.910187            0.890369            0.994664            0.960585            0.520083            0.626048            0.399832            0.920147            0.574091            0.916836            0.824542            0.706276            0.674499            0.603823            0.727023            0.606277
   OH            0.449204            0.453338            0.455107            0.332933            0.479211            0.610828            0.710263            0.740398            0.517256            0.230439            0.764865            0.912951            0.487932            0.396490            0.542497            0.590713            0.775783            0.622166            0.428041            0.995773            0.823026
   OK            0.325476            0.234653            0.355478            0.309902            0.454946            0.334519            0.652600            0.369506            0.286032            0.296620            0.301711            0.961648            0.703267            0.273469            0.379792            0.343019            0.613878            0.445584            0.264089            0.042782            0.526225
   OR            0.881762            0.855655            0.819344            0.841223            0.680082            0.407110            0.911786            0.690362            0.545199            0.360735            0.359540            0.840884            0.619226            0.554928            0.706015            0.575683            0.490955            0.864934            0.684342            0.422871            0.574508
   PA            0.644962            0.660137            0.645291            0.567113            0.513930            0.626942            0.749512            0.795545            0.563092            0.268374            0.225453            0.833358            0.735495            0.626868            0.730916            0.796556            0.885122            0.588489            0.326886            1.000000            0.347787
   RI            0.896240            0.868778            0.819108            0.681042            0.636090            0.806872            0.939609            0.950418            0.963678            0.635494            0.410938            0.709498            0.183831            0.675826            0.722424            0.913711            0.633083            0.760863            0.533839            0.666531            0.615952
