               State  hate_crime_count  hate_crime_norm
             Alabama               929         0.901494
              Alaska                96         0.992364
             Arizona              1189         0.873132
            Arkansas               120         0.989746
          California              9193         0.000000
            Colorado              1380         0.852296
         Connecticut               478         0.950693
            Delaware                75         0.994655
District of Columbia               705         0.925930
             Federal               699         0.926584
             Florida               990         0.894840
             Georgia               894         0.905313
                Guam                26         1.000000
              Hawaii               269         0.973492
               Idaho               229         0.977855
            Illinois              1224         0.869314
             Indiana               815         0.913930
                Iowa               356         0.964001
              Kansas               602         0.937166
            Kentucky               691         0.927457
           Louisiana               382         0.961165
               Maine               342         0.965529
            Maryland               991         0.894731
       Massachusetts              2270         0.755209
            Michigan              2086         0.775281
           Minnesota              1015         0.892113
         Mississippi               106         0.991273
            Missouri               971         0.896913
             Montana                79         0.994218
            Nebraska               308         0.969237
              Nevada               620         0.935202
       New Hampshire               155         0.985928
          New Jersey              5812         0.368823
          New Mexico               248         0.975783
            New York              4149         0.550235
      North Carolina              1422         0.847715
        North Dakota               118         0.989964
                Ohio              2251         0.757282
            Oklahoma               349         0.964765
              Oregon              1501         0.839097
        Pennsylvania              1267         0.864623
        Rhode Island               102         0.991709
      South Carolina               497         0.948620
        South Dakota                91         0.992909
           Tennessee               493         0.949056
               Texas              2529         0.726955
                Utah               502         0.948075
             Vermont               263         0.974146
            Virginia              1106         0.882186
          Washington              2617         0.717356
       West Virginia               313         0.968692
           Wisconsin               621         0.935093
             Wyoming               100         0.991928
