feature,mean_abs_shap
v014_rawvalue_norm,0.03619169758640379
v024_rawvalue_norm,0.024766142909281946
arts_ratio_norm,0.022043828861146794
v168_rawvalue_norm,0.018446833248003204
v009_rawvalue_norm,0.016336793331781174
v149_rawvalue_norm,0.01589816157683967
v063_rawvalue_norm,0.014653561759035061
v044_rawvalue_norm,0.014335365669328226
v153_rawvalue_norm,0.014305776063340488
v005_rawvalue_norm,0.014143474369326964
v136_rawvalue_norm,0.012956150135687709
v183_rawvalue_norm,0.012142108890549522
v085_rawvalue_norm,0.011561101925627827
v137_rawvalue_norm,0.010214105786186468
real_gdp_total_norm,0.010177524581127211
real_pc_income_norm,0.010007268278073647
v140_rawvalue_norm,0.009005909268559785
v154_rawvalue_norm,0.0076602687608633485
v147_rawvalue_norm,0.00760611480973622
rpp_index_norm,0.007374034799485823
v062_rawvalue_norm,0.00710859003485909
v132_rawvalue_norm,0.006889401130771458
v088_rawvalue_norm,0.006449834297259614
v143_rawvalue_norm,0.006049973589880642
real_pce_total_norm,0.005588664792521236
v169_rawvalue_norm,0.005384231039525669
v045_rawvalue_norm,0.005216969634934898
v069_rawvalue_norm,0.005004381381397419
v138_rawvalue_norm,0.004977133330956269
v011_rawvalue_norm,0.004802164170580257
v172_rawvalue_norm,0.004539980656073767
v144_rawvalue_norm,0.004428137709240409
v167_rawvalue_norm,0.00424789850071566
v070_rawvalue_norm,0.0035780382361333264
v067_rawvalue_norm,0.0035226037673197013
disposable_income_total_norm,0.0033849132583705626
v171_rawvalue_norm,0.003289995416520524
v060_rawvalue_norm,0.0029868642796671333
v036_rawvalue_norm,0.002551874708321488
v004_rawvalue_norm,0.0014079590310830602
v151_rawvalue_norm,0.001392511162245617
v049_rawvalue_norm,0.0013755193391173457
pc_pce_norm,0.0013513992874503273
v042_rawvalue_norm,0.0011393139380695976
employment_total_norm,0.0010725317972194706
v023_rawvalue_norm,0.001017804537284314
v061_rawvalue_norm,0.0009309968903898307
v177_rawvalue_norm,0.0008412720816279955
v184_rawvalue_norm,0.0006842820561202593
v141_rawvalue_norm,0.0006256823675404951
v131_rawvalue_norm,0.00037703494165966165
v145_rawvalue_norm,0.000338026792136918
