feature,mean_abs_shap
v014_rawvalue_norm,0.04157970239639533
v063_rawvalue_norm,0.012676604753611312
v147_rawvalue_norm,0.01044053870289887
v085_rawvalue_norm,0.007347280715852421
v149_rawvalue_norm,0.007284055995422545
v069_rawvalue_norm,0.006020568059018045
v009_rawvalue_norm,0.005558985066598684
pc_pce_norm,0.0030065450219398646
v070_rawvalue_norm,0.0023745191812879437
v045_rawvalue_norm,0.00212124851310688
v011_rawvalue_norm,0.0020512787108233027
v144_rawvalue_norm,0.0018708566805192208
v060_rawvalue_norm,0.0017951765041410849
rpp_index_norm,0.0015348874389085412
v067_rawvalue_norm,0.001315535423162297
real_pc_income_norm,0.0012334935239863177
arts_ratio_norm,0.0011165039132694883
v088_rawvalue_norm,0.0010851474390903063
v049_rawvalue_norm,0.001075096411172012
v024_rawvalue_norm,0.0010517977214333871
v169_rawvalue_norm,0.00089092865527097
v145_rawvalue_norm,0.0008018663385782589
v183_rawvalue_norm,0.00076457929748705
v132_rawvalue_norm,0.0006528907599210021
v036_rawvalue_norm,0.0006395795509389092
v131_rawvalue_norm,0.0005888995068890592
v042_rawvalue_norm,0.0005125193238024209
v184_rawvalue_norm,0.00048491419996571974
v151_rawvalue_norm,0.0004793642552480714
v004_rawvalue_norm,0.0004762176867165305
v171_rawvalue_norm,0.00045255171136711765
v044_rawvalue_norm,0.00043055025682493033
v005_rawvalue_norm,0.00042402676050253354
v023_rawvalue_norm,0.00042288899292736707
v136_rawvalue_norm,0.00033461359001995335
v177_rawvalue_norm,0.00029159660345294113
v168_rawvalue_norm,0.0002889527863793648
v138_rawvalue_norm,0.00027817898269698923
employment_total_norm,0.00026381687908461543
v140_rawvalue_norm,0.00022453900310649824
v137_rawvalue_norm,0.0002236475333037641
v061_rawvalue_norm,0.00021686104332656285
real_gdp_total_norm,0.00020741756692535898
v154_rawvalue_norm,0.00019854173407205786
v167_rawvalue_norm,0.00016942057169920757
v062_rawvalue_norm,0.0001599320442198148
real_pce_total_norm,0.00013625515429810633
v172_rawvalue_norm,0.00013236704676381
v143_rawvalue_norm,0.0001213212588374112
v153_rawvalue_norm,0.00011545239971391331
disposable_income_total_norm,0.00010944561895222452
v141_rawvalue_norm,7.900316817181411e-05
